
BREAKFASTSANDWICH,233,Other,Breakfast,G,1,2345,1,13,199,551,129,18,1,11,2,1
EGGS,155,Dairy,Breakfast/Dinner,LG,1,123450,0,11,373,124,126,1.1,1.1,13,1.2,1
YOGURT,58,Dairy,Breakfast/Dinner,LG,1,123450,0,0.4,5,36,141,3.6,3.2,10,0.1,1
COTTAGECHEESE,98,Dairy,Breakfast,L,1,1230,0,4.3,17,364,104,3.4,2.7,11,0.1,1
CREAMCHEESE,342,Dairy,Breakfast,G,1,2345,0,34,110,321,138,4.1,3.2,6,0.4,1
SLICEDCHEESE,312,Dairy,Breakfast,G,1,2345,0,30,78,1309,283,8.8,6.2,17,0,1
COLDCEREAL,387,other,Breakfast/Dinner,G,1,2345,0,6.7,0,419,193,87,38.7,3.2,6.5,0
WHOLEGRAINCEREAL,367,Other,Breakfast,G,1,2345,1,3.3,0,633,300,76.7,17,6.7,26.7,0
GRITS,59,other,Breakfast/Dinner,L,1,1230,1,0.2,0,223,21,13,0.1,1.4,0.2,1
MILKONCEREAL,218,Dairy,Breakfast,LG,1,123450,0,3.3,5,358,207,43.7,13.9,5.23,11.18,0
BROWNRICE,112,Other,Launch,LG,1,123450,0,0.9,0,5,43,23,0.4,2.6,0.4,1
WHITERICE,130,Other,Launch,LG,1,123450,0,0.3,0,1,35,28,28,2.7,0.2,0
PANCAKE,227,Dessert,Launch,G,1,2345,0,10,59,439,132,28,16,6,1.8,0
PASTRIES,550,Dessert,Launch,G,1,2345,0,38,0,249,61,45,0.7,7,2.6,0
BISCUIT,353,Dessert,Launch/Dinner,G,1,2345,0,16,3,580,121,45,2.2,7,2.9,0
CORNBREAD,330,Dessert,Launch,LG,1,123450,0,10,57,599,133,54,16,7,1.9,0
BUNS,279,Dessert,Dinner,G,1,2345,0,3.9,0,494,122,50,7.3,9.8,1.4,0
BAGEL,250,Other,Breakfast/Dinner,LG,1,123450,0,1.5,0,439,165,49,6,10,2.8,0
TORTILLAS,218,Other,Dinner,G,1,2345,1,2.9,0,45,186,45,0.9,6,1.2,0
OTHERBREADS,264,Dairy,Breakfast/Dinner,LG,1,23450,1,3.2,0,491,115,49,5,9,3.6,0
BROCCOLI,33,Vegeitables,Launch,L,1,1230,0,0.4,0,33,316,7,1.7,2.8,0.7,1
CARROTS,41,Vegeitables,Breakfast/Launch/Dinner,LG,1,123450,0,0.2,0,69,320,9.6,4.5,0.9,1,1
CORN,96,Other,Dinner,LG,1,123450,0,1.5,0,15,50,21,6.4,3.4,0,1
GREENBEANS,30,Vegeitables,Dinner,L,1,1230,0,0.1,0,6,209,7,3.4,1.8,1,1
COOKEDGREENS,23,Vegeitables,Launch/Dinner,L,1,1230,0,0.4,0,79,558,3.6,0.4,2.9,2.7,1
CABBAGE,24,Vegeitables,Dinner,L,1,1230,0,0.1,0,18,170,6,3.2,1.3,0.5,1
GREENSALAD,23,Vegeitables,Launch/Dinner,LG,1,123450,0,0.4,0,79,558,3.6,0.4,2.9,2.7,1
RAWTOMATOES,18,Vegeitables,Breakfast/Dinner,LG,1,123450,0,0.2,0,5,237,3.9,2.6,0.9,3.9,1
SALADDRESSINGS,457,Vegeitables,Launch,G,1,2345,0,45,0,836,67,16,16,0.8,0.8,0
AVOCADO,160,Fruit,Dinner,G,1,2345,0,15,0,7,485,9,0.7,2,0.6,1
SWEETPOTATOES,85,Other,Launch,LG,1,123450,0,0.1,0,55,337,20,4.2,1.6,0.6,0
FRIES,311,Other,Breakfast,G,1,2345,0,15,0,210,579,41,0.3,3.4,0.8,0
POTATOES,76,Other,Breakfast,LG,1,123450,0,0.1,0,6,421,17,0.8,2,0.8,1
OTHERVEGGIES,32,Vegeitables,Breakfast/Dinner,LG,1,123450,0,0.1,0,35,169,13,3.1,2.9,4.6,1
MELONS,33,Fruit,Launch/Dinner,LG,1,123450,0,0.2,0,16,267,8,8,0.8,0.2,0
BERRIES,57,Fruit,Launch/Dinner,LG,1,123450,0,0.3,0,1,77,10,0.7,0.3,0,1
BANANAS,88,Fruit,Launch/Dinner,G,1,2345,0,0.3,0,1,358,23,12,1.1,0.3,1
APPLES,52,Fruit,Breakfast/Launch,LG,1,123450,0,0.2,0,1,107,14,10,0.3,0.1,1
ORANGES,47,Fruit,Breakfast/Launch/Dinner,LG,1,123450,0,0.1,0,0,181,12,9,0.9,0.1,1
PEACHES,39,Fruit,Breakfast/Launch,LG,1,123450,0,0.3,0,0,190,10,8,0.9,0.3,1
OTHERFRESHFRUIT,59,Fruit,Breakfast/Launch,LG,1,123450,0,0.3,0,1.6,224,15,0.8,0.3,0,1
DRIEDFRUIT,359,Fruit,Launch,G,1,2345,0,2.7,0,403,164,83,58,1,0.8,0
CANNEDFRUIT,92,Fruit,Launch,LG,1,123450,0,0.3,0,1.6,224,15,10,0.8,0.3,0
REFRIEDBEANS,91,Other,Breakfast,LG,1,123450,0,1.2,0,449,336,15,0.5,5,1.7,1
BEANS,94,Other,Launch,LG,1,123450,0,0.4,0,343,224,21,8,4.8,5.1,1
TOFU,76,Dairy,Breakfast,LG,1,123450,0,4.8,0,7,121,1.9,0.5,8,5.4,1
MEATSUBSTITUTES,271,Meat,Launch,G,0,24,1,20,0,16,146,10,2.7,17,4.9,1
LENTILSOUP,111,Soup,Launch,LG,1,123450,0,0.8,3,635,270,19.1,1.6,6.4,2.1,1
VEGETABLESOUP,59,Soup,Launch,LG,1,123450,0,1.6,1,516,171,9.8,3.1,1.7,0.9,1
OTHERSOUP,25,Soup,Launch,LG,1,123450,0,1,5,349,22,3,0.3,1.3,2.1,1
PIZZA,266,Other,Launch,G,1,2345,1,10,17,598,172,33,3.6,11,2.5,0
MACANDCHEESE,190,Other,Launch,G,1,2345,0,5,8,460,80,23,1.6,7,1.2,0
SPAGHETTI,157,Other,Launch,LG,1,123450,0,0.9,0,1,44,31,0.6,6,1.3,0
OTHERNOODLES,158,Other,Launch,LG,1,123450,0,2.1,29,5,38,25,0.4,4.5,1.5,0
EGGROLL,250,Dairy,Launch,G,1,2345,0,12,16,468,165,27,6,8.3,1.7,1
OKRA,35,Vegeitables,Launch,LG,1,123450,0,0.2,0,7,299,7,1.5,1.9,0.6,1
HAMBURGER,294,Meat,Launch,G,0,24,1,14,47,414,226,24,4.2,17,2.9,0
HOTDOG,289,Meat,Launch,G,0,24,1,26,77,1090,152,4.2,1.3,10,1.1,0
BACONSAUSAGE,480,Meat,Launch,G,0,24,1,28,61,827,483,0.9,0.9,12,1.1,0
LUNCHMEAT,353,Meat,Launch,LG,0,240,1,32,55,1293,202,2.3,0,13,0.9,1
MEATBALLS,196,Meat,Launch,LG,0,240,1,9,0,550,180,8,1.3,21,2.2,1
